A,N,D
1,"[0, 0]",[-0.01751762 -0.36584317],0,0,0,[-0.01751762 -0.36584317]
1,"[0, 1]",[-0.01751762 -0.36584317],0,0,0,[-0.01751762 -0.36584317]
1,"[1, 0]",[-0.01751762 -0.36584317],0,0,0,[-0.01751762 -0.36584317]
1,"[1, 1]",[-0.01751762 -0.36584317],1,0,1,[0.53248238 0.18415683]
2,"[0, 0]",[0.53248238 0.18415683],0,0,0,[0.53248238 0.18415683]
2,"[0, 1]",[0.53248238 0.18415683],0,0,0,[0.53248238 0.18415683]
2,"[1, 0]",[0.53248238 0.18415683],0,0,0,[0.53248238 0.18415683]
2,"[1, 1]",[0.53248238 0.18415683],1,0,1,[1.08248238 0.73415683]
3,"[0, 0]",[1.08248238 0.73415683],0,0,0,[1.08248238 0.73415683]
3,"[0, 1]",[1.08248238 0.73415683],0,0,0,[1.08248238 0.73415683]
3,"[1, 0]",[1.08248238 0.73415683],0,1,1,[0.53248238 0.73415683]
3,"[1, 1]",[0.53248238 0.73415683],1,1,0,[0.53248238 0.73415683]
4,"[0, 0]",[0.53248238 0.73415683],0,0,0,[0.53248238 0.73415683]
4,"[0, 1]",[0.53248238 0.73415683],0,0,0,[0.53248238 0.73415683]
4,"[1, 0]",[0.53248238 0.73415683],0,0,0,[0.53248238 0.73415683]
4,"[1, 1]",[0.53248238 0.73415683],1,1,0,[0.53248238 0.73415683]
X,O,R
1,"[0, 0]",[-0.01751762 -0.36584317],0,0,0,[-0.01751762 -0.36584317]
1,"[0, 1]",[-0.01751762 -0.36584317],1,0,1,[-0.01751762 -0.31584317]
1,"[1, 0]",[-0.01751762 -0.31584317],1,0,1,[ 0.03248238 -0.31584317]
1,"[1, 1]",[ 0.03248238 -0.31584317],0,0,0,[ 0.03248238 -0.31584317]
2,"[0, 0]",[ 0.03248238 -0.31584317],0,0,0,[ 0.03248238 -0.31584317]
2,"[0, 1]",[ 0.03248238 -0.31584317],1,0,1,[ 0.03248238 -0.26584317]
2,"[1, 0]",[ 0.03248238 -0.26584317],1,0,1,[ 0.08248238 -0.26584317]
2,"[1, 1]",[ 0.08248238 -0.26584317],0,0,0,[ 0.08248238 -0.26584317]
3,"[0, 0]",[ 0.08248238 -0.26584317],0,0,0,[ 0.08248238 -0.26584317]
3,"[0, 1]",[ 0.08248238 -0.26584317],1,0,1,[ 0.08248238 -0.21584317]
3,"[1, 0]",[ 0.08248238 -0.21584317],1,0,1,[ 0.13248238 -0.21584317]
3,"[1, 1]",[ 0.13248238 -0.21584317],0,0,0,[ 0.13248238 -0.21584317]
4,"[0, 0]",[ 0.13248238 -0.21584317],0,0,0,[ 0.13248238 -0.21584317]
4,"[0, 1]",[ 0.13248238 -0.21584317],1,0,1,[ 0.13248238 -0.16584317]
4,"[1, 0]",[ 0.13248238 -0.16584317],1,1,0,[ 0.13248238 -0.16584317]
4,"[1, 1]",[ 0.13248238 -0.16584317],0,0,0,[ 0.13248238 -0.16584317]
5,"[0, 0]",[ 0.13248238 -0.16584317],0,0,0,[ 0.13248238 -0.16584317]
5,"[0, 1]",[ 0.13248238 -0.16584317],1,0,1,[ 0.13248238 -0.11584317]
5,"[1, 0]",[ 0.13248238 -0.11584317],1,1,0,[ 0.13248238 -0.11584317]
5,"[1, 1]",[ 0.13248238 -0.11584317],0,0,0,[ 0.13248238 -0.11584317]
6,"[0, 0]",[ 0.13248238 -0.11584317],0,0,0,[ 0.13248238 -0.11584317]
6,"[0, 1]",[ 0.13248238 -0.11584317],1,0,1,[ 0.13248238 -0.06584317]
6,"[1, 0]",[ 0.13248238 -0.06584317],1,1,0,[ 0.13248238 -0.06584317]
6,"[1, 1]",[ 0.13248238 -0.06584317],0,0,0,[ 0.13248238 -0.06584317]
7,"[0, 0]",[ 0.13248238 -0.06584317],0,0,0,[ 0.13248238 -0.06584317]
7,"[0, 1]",[ 0.13248238 -0.06584317],1,0,1,[ 0.13248238 -0.01584317]
7,"[1, 0]",[ 0.13248238 -0.01584317],1,1,0,[ 0.13248238 -0.01584317]
7,"[1, 1]",[ 0.13248238 -0.01584317],0,1,1,[ 0.08248238 -0.06584317]
8,"[0, 0]",[ 0.08248238 -0.06584317],0,0,0,[ 0.08248238 -0.06584317]
8,"[0, 1]",[ 0.08248238 -0.06584317],1,0,1,[ 0.08248238 -0.01584317]
8,"[1, 0]",[ 0.08248238 -0.01584317],1,0,1,[ 0.13248238 -0.01584317]
8,"[1, 1]",[ 0.13248238 -0.01584317],0,1,1,[ 0.08248238 -0.06584317]
9,"[0, 0]",[ 0.08248238 -0.06584317],0,0,0,[ 0.08248238 -0.06584317]
9,"[0, 1]",[ 0.08248238 -0.06584317],1,0,1,[ 0.08248238 -0.01584317]
9,"[1, 0]",[ 0.08248238 -0.01584317],1,0,1,[ 0.13248238 -0.01584317]
9,"[1, 1]",[ 0.13248238 -0.01584317],0,1,1,[ 0.08248238 -0.06584317]
10,"[0, 0]",[ 0.08248238 -0.06584317],0,0,0,[ 0.08248238 -0.06584317]
10,"[0, 1]",[ 0.08248238 -0.06584317],1,0,1,[ 0.08248238 -0.01584317]
10,"[1, 0]",[ 0.08248238 -0.01584317],1,0,1,[ 0.13248238 -0.01584317]
10,"[1, 1]",[ 0.13248238 -0.01584317],0,1,1,[ 0.08248238 -0.06584317]
11,"[0, 0]",[ 0.08248238 -0.06584317],0,0,0,[ 0.08248238 -0.06584317]
11,"[0, 1]",[ 0.08248238 -0.06584317],1,0,1,[ 0.08248238 -0.01584317]
